№,Модель,организация,адрес
332.0,Wincor ProCash 2000xe ,Magnum Super,"г. Алматы, ул. Саина, 16 а"
1782.0,Diebold Opteva 760,"ТОО ""А? Т?ртіп""","мкр.Алгабас, ул.7, д.134/12"
2624.0,Diebold Opteva 720,Детская городская клиническая инфекционная больница ,"?г. Алматы, Ташкентский тракт, 541"
13003.0,Diebold Nixdorf CINEO C4060 EPP6,АО Иностранное Предприятие «Эфес Казахстан»,"Алматинская обл., Карасайский район, с.о. Елтайский, село Береке, учетный квартал 062, строение 112"
13008.0,NCR SS 6626,"ТЦ ""Р?ш""","г. Алматы, мкр. 4, 10А (пр. Абая, уг. пр. Алтынсарина)"
13009.0,Wincor ProCash 2150xe ,ЦПС №40,"г. Алматы, мкр. Аксай-4, 100"
13012.0,Wincor ProCash 2000xe ,ЦКО и ХЦ НацБанка РК,"г. Алматы, пр. Райымбека, 511, уг. ул. Яссауи"
13014.0,GRG H68VL-офисный,ЦПС №30 (134002),"г.Алматы,Жетысу-4, дом 13 А"
13015.0,NCR SS 6622,"Ресторан ""Тау- Дастархан"" (Склад филиала)","ущелье ""Алма-Арасан"", 22 км."
13029.0,NCR SS 6626,Магазин Шынгыс,"ул.Елибаева, 85"
13040.0,Wincor ProCash 2150xe ,Университет Асфендиярова,"г. Алматы, мкр. Тастыбулак, ул.Таутаган, д.2"
13044.0,Wincor ProCash 2150xe ,"ИП ""НМ"" Мырзаканова Н.","г. Алматы, мкр. Аксай-2, 10 (ул. Толе би, уг. ул. Саина)"
13051.0,Diebold Nixdorf CINEO C4060 EPP6,Супермаркет Aiklar,"мкр.Аккент, 43"
13076.0,Wincor ProCash 2150xe ,Магазин Адель," г. Алматы, Мкр.Калкаман 2, ул. Абилова д.42А"
13079.0,GRG H68VL-офисный,мини-маркет Econom Market,"ул.Кеменгерулы, 1"
13081.0,NCR SS 6626,"Завод «LG» (Банкомат ""Сити банка"")","ул. Молодежная, 2а"
13084.0,NCR SS 6622,Кока-кола,"алм.область с.Кокозек, 1778"
13090.0,Wincor ProCash 2150xe ,"ТРЦ ""Domillion""","пр. Рыскулова, 143"
13095.0,NCR SS 6622,Мини-маркет Келеке,"мкр. Карагайлы, ул. Мечеть, 5 Б"
13108.0,GRG H68VL-офисный,"супермаркет ""Small""","мкр. Аксай-4, д 22А"
13110.0,NCR SS 6626,"Супермаркет ""J-mart""","г. Алматы, пр. Райымбека, 348/1"
13111.0,GRG H68VL-офисный,Леруа Мерлен,"Алматинская обл., Карасайский район, село Иргели, трасса Алматы-Бишкек, строение 8970"
13114.0,GRG H68VL-офисный,"супермаркет ""Small","пр.Райымбека, 507а"
13115.0,GRG H68VL-офисный,"ТД ""Grand Park 2"" ","10 блок, г.Алматы, ул.Кабдолова, д.1"
13122.0,GRG H68VL-офисный,"Супермаркет ""Магнум""","г. Алматы, мкр. Ак-Булак, ул. АЗТМ, 273"
13129.0,Wincor ProCash 2050xe ,ЦПС №40,"г.Алматы, мкр. Аксай -4, д. 100"
13130.0,Wincor ProCash 2050xe ,магазин Аскар,"мкр.Калкаман 2, ул. 3 (Макатаева), 66"
13131.0,Wincor ProCash 2050xe ,"ТЦ ""Р?ш""","г. Алматы, мкр. 4, 10А (пр. Абая, уг. пр. Алтынсарина)"
13138.0,GRG H68VL-офисный,"супермаркет ""Реалист""","г. Алматы, мкр. Орбита-3, 5Б (ул. Мустафина, уг. ул. Биржана)"
13142.0,GRG H68VL-офисный,ТОО «Magnum Cash &Carry» АФ 1,"г. Алматы, мкр. Жетысу-3, 1Г (пр. Абая, уг. ул. Момышулы)"
13143.0,GRG H68VL-офисный,ТОО «Magnum Cash &Carry» АФ 1,"г. Алматы, мкр. Жетысу-3, 1Г (пр. Абая, уг. ул. Момышулы)"
13147.0,GRG H68VL-офисный,"ТД ""Нур""","ул.Улугбека, 70-Б"
13150.0,Wincor ProCash 2150xe ,Магазин Атамекен,"г. Алматы, ул.Орталык, д.36а"
13153.0,GRG H68VL-офисный,"ТРЦ ""Спутник"" ","г. Алматы, мкр. Мамыр-1, 8А (ул. Б. Момышулы, уг. ул. Шаляпина)"
13155.0,GRG H68VL-офисный,"ТРЦ ""Алматы Mall""","ул. Жандосова, 83 (Цокольный этаж возле АТМ НБ, 2-ой с левой стороны )"
13174.0,Diebold Nixdorf CINEO C4060 EPP6,Astana Motors Manufacturing Kazakhstan,"ул.7-ая, 142/11"
13180.0,Wincor ProCash 2150xe ,"мини маркет ""Несибе""","г. Алматы, ул. Нуржауган 406/1"
13186.0,NCR SS 6622,ТЭЦ-2,"г. Алматы, ул.7, 130"
13187.0,GRG H68VL-офисный,"супермаркет ""Small","пр.Райымбека, 507а"
13189.0,GRG H68VL-офисный,ЦПС №37 (131431)," г.Алматы, мкр. Шанырак-2, ул.Жан?ожа батыра д.26"
13199.0,Diebold Nixdorf CINEO C4060 EPP6,супермаркет Снедь,"г.Алматы, ул.Наби, 157 мкр.Айгерим, ул.Садовая, д.149 "
13203.0,NCR SS 6626,"г. Алматы, мкр. ""Астана"", 8Б , отделение №131434 ",Центр персонального сервиса №38
13206.0,GRG H68VL-офисный,"супермаркет ""Small","пр.Райымбека, 507а"
13213.0,Wincor ProCash 2150xe ,ЦПС №40,"г. Алматы, мкр. Аксай-4, 100"
13218.0,GRG H68VL-офисный,"ТРЦ ""Спутник"" ","г. Алматы, мкр. Мамыр-1, 8А (ул. Б. Момышулы, уг. ул. Шаляпина)"
13220.0,NCR SS 6622,Военный-инжинерный институт радиоэлектроники и связи Министерства Обороны РК,"ул. Жандосова, 53"
13221.0,GRG H68VL-офисный,Супермаркет «Toimart»,"мкр. Калкаман-2, ул. Ашимова, 13 а"
13237.0,Wincor ProCash 2000xe ,"ТОО ""КФК ""МЕДСЕРВИС ПЛЮС""","Алматинская обл, Карасайский р/н, пос. Абай, ул. Интернациональная"
13238.0,Wincor ProCash 2000xe ,колледж КазГАСА,"г. Алматы, ул.Торайгырова, 29 возле КПП"
13241.0,WN 2050 XE USB,ЦПС №32,Мкр. Нуркент 5-22
13242.0,WN 2000 XE USB,Детская клиническая инфекционная больница ,"ул. Бауыржана Момышулы, 1/55"
