"atm_number","model","organization","address","sector","region"
"332","Wincor ProCash 2000xe","Magnum Super","г. Алматы, ул. Саина, 16 а","","Запад"
"1782","Diebold Opteva 760","ТОО ""А? Т?ртіп""","мкр.Алгабас, ул.7, д.134/12","","Запад"
"2624","Diebold Opteva 720","Детская городская клиническая инфекционная больница","?г. Алматы, Ташкентский тракт, 541","","Запад"
"13003","Diebold Nixdorf CINEO C4060 EPP6","АО Иностранное Предприятие «Эфес Казахстан»","Алматинская обл., Карасайский район, с.о. Елтайский, село Береке, учетный квартал 062, строение 112","","Запад"
"13008","NCR SS 6626","ТЦ ""Р?ш""","г. Алматы, мкр. 4, 10А (пр. Абая, уг. пр. Алтынсарина)","","Запад"
"13009","Wincor ProCash 2150xe","ЦПС №40","г. Алматы, мкр. Аксай-4, 100","","Запад"
"13012","Wincor ProCash 2000xe","ЦКО и ХЦ НацБанка РК","г. Алматы, пр. Райымбека, 511, уг. ул. Яссауи","","Запад"
"13014","GRG H68VL-офисный","ЦПС №30 (134002)","г.Алматы,Жетысу-4, дом 13 А","","Запад"
"13015","NCR SS 6622","Ресторан ""Тау- Дастархан"" (Склад филиала)","ущелье ""Алма-Арасан"", 22 км.","","Запад"
"13029","NCR SS 6626","Магазин Шынгыс","ул.Елибаева, 85","","Запад"
"13040","Wincor ProCash 2150xe","Университет Асфендиярова","г. Алматы, мкр. Тастыбулак, ул.Таутаган, д.2","","Запад"
"13044","Wincor ProCash 2150xe","ИП ""НМ"" Мырзаканова Н.","г. Алматы, мкр. Аксай-2, 10 (ул. Толе би, уг. ул. Саина)","","Запад"
"13051","Diebold Nixdorf CINEO C4060 EPP6","Супермаркет Aiklar","мкр.Аккент, 43","","Запад"
"13076","Wincor ProCash 2150xe","Магазин Адель","г. Алматы, Мкр.Калкаман 2, ул. Абилова д.42А","","Запад"
"13079","GRG H68VL-офисный","мини-маркет Econom Market","ул.Кеменгерулы, 1","","Запад"
"13081","NCR SS 6626","Завод «LG» (Банкомат ""Сити банка"")","ул. Молодежная, 2а","","Запад"
"13084","NCR SS 6622","Кока-кола","алм.область с.Кокозек, 1778","","Запад"
"13090","Wincor ProCash 2150xe","ТРЦ ""Domillion""","пр. Рыскулова, 143","","Запад"
"13095","NCR SS 6622","Мини-маркет Келеке","мкр. Карагайлы, ул. Мечеть, 5 Б","","Запад"
