902;Opteva 522;АО "Казтелерадио";г. Алматы, ул. Аль-Фараби, д.118А;Сектор А
1017;Cashway pilot;ЦБО №7 (134010);пр. Абая 127/99А;Сектор В
1026;Cashway pilot;ЦПС №23 (134026);ул. Жандосова, 25;Сектор В
1141;Cashway pilot;отделение №131435;Туркебаева 92;Сектор С
1223;Cashway pilot;отделение №131424;ул. Толе би, 159, уг. ул. Исаева;Сектор С
1420;Opteva 562;Аптека Pharmaplus;г.Алматы, ул.Ауэзова, 65;Сектор B
1755;Opteva 562;АО"Казахфильм" имени Шакена Айманова;пр. Аль-Фараби, 176;Сектор A
2446;Cashway pilot;ЦПС 10;Розыбакиева 247А, ТРК "Мега Центр";Сектор А
13001;Diebold Nixdorf C2560 (межстенный);отделение №131505;Казахфильм 14;Сектор А
13002;GRG H68VL;ТРЦ "Глобус", цоколь;пр. Абая, 109 "в";Сектор В
13006;NCR-6634 cash-in;ЦБО №7 (134010);пр. Абая 127/99А;Сектор B
13020;Diebold Nixdorf C2560 (межстенный);ЦПС №62 (131501);г. Алматы, пр. Гагарина 167, отделение №131501;Сектор А
13021;GRG H68VL;БЦ «Esentai Mall»;Алматы пр. Аль-Фараби 77/8;Сектор А
13023;GRG H68VL;Ялян;ул. Северное кольцо, 9;Сектор С
13025;NCR-6622;Центральный офис АлмаТВ;ул.Айтиева, 23;Сектор В
13026;GRG H68VL;Супермаркет "Magnum";г. Алматы, ул. Радостовца, 292 (в зоне самообслуживания);Сектор A
13028;GRG H68VL;TOI Mart;Розыбакиева №4;Сектор С
13031;WN ProCash 2150xe USB;отделение №131424;Толе би 159;Сектор С
13032;GRG H68VL;рынок Байсат;ул. Северное кольцо, 7;Сектор С
13034;NCR-6626;магазин Келеке;ул. Розыбакиева, 153а;Сектор А
13038;Diebold Nixdorf C2560 (межстенный);отделение №131422;ул.Жандосова,47, уг. Садовникова;Сектор A
13043;GRG H68VL;TOI Mart;Розыбакиева №4;Сектор С
13046;GRG H68VL;рынок Байсат;ул. Северное кольцо, 7;Сектор С
13047;WN ProCash 2150хе;отделение №131509;м-н Коктем-2, 1;Сектор А
13052;NCR-6626;Отделение №131861 ул. Гоголя, 144/99, уг. ул. Муратбаева;ул.Гоголя,144/99;Сектор С
13059;Diebold Nixdorf C2560 (межстенный);отделение №131505;Казахфильм 14;Сектор А
13060;WN ProCash 2150хе;АОФ АО "Народный Банк Казахстана";ул.Розыбакиева 101;Сектор В
13062;NCR-6634 cash-in;отделение №131827;Байтурсынова 72;Сектор В
13066;NCR-6622;Медицинский университет;ул. Богенбай батыра, 151;Сектор B
13072;Diebold Nixdorf C2560 (межстенный);ЦПС №15 (134001);ул.Розыбакиева,281, ниже Аль-Фараби;Сектор А
13074;WN ProCash 2000xe;ТОО "Темирбетон";ул. Бокейханова, 11;Сектор С
13080;NCR-6626;отделение №131861;ул. Гоголя, 144, уг. ул. Муратбаева;Сектор С
13082;NCR-6626;отделение №131861;ул. Гоголя, 144, уг. ул. Муратбаева;Сектор С
13088;GRG H68VL;супермаркет "SMALL";ул. Жамбыла, 205;Сектор B
13089;NCR-6632;рынок Сауран;пр. Рыскулова, 103;Сектор С
13096;Diebold Nixdorf C2560 (межстенный);ЦПС №10;г.Алматы, ул. Розыбакиева,247 а;Сектор А
13098;WN ProCash 2150хе;отделение №131509;м-н Коктем-2, 1;Сектор А
13101;NCR-6622;КазГУ, в здание магнум дайли;пр. Аль-Фараби, 71/21;Сектор А
13103;Diebold Nixdorf C2560 (межстенный);ЦПС №62 (131501);г. Алматы, пр. Гагарина 167, отделение №131501;Сектор А
13106;NCR-6626;отделение №131599;м-н Алмагуль 44;Сектор А
13109;DN200;Политех главный корпус со стороны ул. Байтурсынова;ул. Сатпаева, 22;Сектор В
13112;GRG H68VL;ТД "Алатау-2";г.Алматы, ул. Северное кольцо, 23;Сектор С
13116;GRG H68VL;ЦПС №6 (131530);ул. Абая 109В;Сектор В
13117;NCR-6622;супермаркет Магнум;мкр. Казахфильм, 17;Сектор А
13118;NCR-6634 cash-in;ЦБО №7 (134010);пр. Абая 127/99А;Сектор B
13123;NCR 6626;Магазин "Строймарт";пр. Гагарина, 244 "а";Сектор А
13128;ProCash 2050;магазин "Асия";мкр. Ерменсай, ул. Жангир хана, 101;Сектор А
13133;Procash 2050;Аптека Низких цен;мкр.Казахфильм, ул. Мамыр, 1/ Исиналиева, 1/1;Сектор А
13135;ProCash 2050;Kegoc;ул. Шевченко, 162/7;Сектор В
13146;WN ProCash 2050xe;Алматы Су;ул. Жарокова, 196;Сектор А
13152;GRG H68VL;ТК Акбаулак 3;мкр.Заря-Восток, ул.Головацкого 41;Сектор С
13156;NCR-6626;отделение №131599;Алмагуль 44;Сектор А
13165;WN ProCash 2150xe;отделение №131422;ул.Жандосова,47, уг. Садовникова;Сектор A
13167;WN ProCash 2150хе;отделение №131424;Толе би 159;Сектор С
13172;WN ProCash 2150хе;отделение №131509;м-н Коктем-2, 1;Сектор А
13184;GRG H68VL;Магнум;ул. Муратбаева, 63;Сектор С
13188;Diebold Nixdorf C4060;ТЦ "Акбулак 3" возле Евразии;Северное кольцо, 12;Сектор С
13193;GRG H68VL;отделение №131435;ул. Туркебаева, 92;Сектор C
13196;GRG H68VL;ТРК "MAXIMA";Райымбека 239Г;Сектор С
13200;GRG H68VL;отделение №131435;Туркебаева 92;Сектор С
13201;GRG H68VL;отделение №131435;Туркебаева 92;Сектор С
13204;GRG H68VL;ЦБО №7 (134010);пр. Абая 127/99А;Сектор B
13207;GRG H68VL;отделение №131435;Туркебаева 92;Сектор С
13212;NCR-6626;БЦ ТОО "Гимарат Сервис";Карасай батыра 98;Сектор B
13215;GRG H68VL;отделение №131422, ЦПС 35;ул.Жандосова,47, уг. Садовникова;Сектор A
13224;WN ProCash 2150xe;QazaqGaz Aimaq;пр. Т. Рыскулова, 99;Сектор С
13225;GRG H68VL;ТРЦ "Максима";пр. Райымбека, 239а;Сектор C
13227;Diebold Nixdorf C2560 (межстенный);АОФ АО "Народный Банк Казахстана";Розыбакиева 101;Сектор В
13229;WN ProCash 2150хе;отделение №131827;Байтурсынова 72;Сектор В
13253;GRG H68VL;ЦПС №23 (134026);г.Алматы, ул.Жандосова, д.25;Сектор В
13255;NCR-6622;стройрынок Саламат;ул. Розыбакиева, 72а;Сектор В
13261;NCR 6626;Международный институт информационных технологий;ул. Манаса, 34/1;Сектор В
13265;NCR-6622;СРК Баганашыл, Cofee Bar Zenit;ул. Санаторная, 14а;Сектор А
13266;NCR 6626;отделение №131505;Казахфильм 14;Сектор А
13269;GRG H68VL;Супермаркет Small;г. Алматы, ул. Ади Шарипова, 63а;Сектор С
13271;NCR 6628;Манхэттен;Прокофьева 140;Сектор С
13272;NCR-6632cash-in;Глобус, отделение Алтын банк;Абая 109В;Сектор В
13273;NCR-6634 cash-in;ТД "АРЕНА" Межстенный АТМ.;г.Алматы пр.Абая д.141;Сектор В
13274;NCR-6632cash-in;Отель "Рахат-Палас";ул. Сатпаева, 29/6;Сектор В
13275;NCR-6632 cash-in;Детская инфекционная больница;ул. Байзакова, 299А;Сектор A
13276;NCR-6634 cash-in;АОФ АО "Народный Банк Казахстана";ул. Розыбакиева, 101, уг. ул. Сатпаева;Сектор В
13298;Diebold Nixdorf C4060;ЦБО №7 (134010);пр. Абая 127/99А;Сектор B
13301;Diebold Nixdorf C4060;Avtodom;ул. Сатпаева, 90/22;Сектор В
